X,Y,fid,full_id,osm_id,osm_type,place,name,Rang,icon_url
6.55654272913369,52.1998765761726,87,n45815457,"45815457",node,town,Diepenheim,3,./0.png
6.8940537,52.2209855,88,n3836540471,"3836540471",node,city,Enschede,3,./0.png
6.70740314224118,52.2610284003519,89,n45815457,"45815457",node,town,Delden,3,./0.png
6.2246217480321,51.9971373724859,90,n44876419,"44876419",node,town,Keppel,3,./0.png
5.971591884049,51.8799349623389,91,n6394959708,"6394959708",node,town,Gendt,3,./0.png
5.63044347259874,51.8225284324056,92,n6394959708,"6394959708",node,town,Batenburg,3,./0.png
5.94534347272143,51.1294182448045,93,n1155976743,"1155976743",node,town,Montfort,3,./0.png
5.87289069249188,51.1073219195142,94,n1155976743,"1155976743",node,town,Echt,3,./0.png
5.2253042,51.9573504,95,n3926093941,"3926093941",node,town,Culemborg,3,./0.png
5.2253042,51.9573504,96,n1155976743,"1155976743",node,town,Montfort,3,./0.png
5.33348614250076,51.9112317837613,97,n1155976743,"1155976743",node,town,Buren,3,./0.png
5.7918548,53.2005936,98,n235278210,"235278210",node,city,Leeuwarden,1,./0.png
5.9992306,53.3243515,99,n48381378,"48381378",node,town,Dokkum,2,./0.png
5.5409648,53.1880505,100,n235270746,"235270746",node,town,Franeker,2,./0.png
5.5228964,53.0620178,101,n235883025,"235883025",node,town,Bolsward,2,./0.png
5.6611029,53.033548,102,n235255139,"235255139",node,town,Sneek,2,./0.png
5.62299493106399,53.0104841145231,103,n235255139,"235255139",node,town,Ijlst,2,./0.png
5.4141998,53.1752103,104,n235273940,"235273940",node,town,Harlingen,2,./0.png
5.64460254231637,52.8936634674744,105,n235255139,"235255139",node,town,Sloten,2,./0.png
5.44628759646885,52.9767939130289,106,n235883025,"235883025",node,town,Workum,2,./0.png
5.40326880679367,52.9425062359673,107,n235883025,"235883025",node,town,Stavoren,2,./0.png
5.36208122711689,52.8819359963176,108,n235883025,"235883025",node,town,Hindeloop,2,./0.png
6.5680077,53.2190652,109,n3125538288,"3125538288",node,city,Groningen,1,./0.png
